,Title,Time,Link
119,Union Bank & Trust Promotes Krings,"Nov 21, 2020",https://columbustelegram.com/business/union-bank-trust-promotes-krings/article_436bc747-93cd-5855-80a1-0a22aeb9e2ea.html
120,Union Bank & Trust Promotes Krings,"Nov 21, 2020",https://columbustelegram.com/business/union-bank-trust-promotes-krings/article_436bc747-93cd-5855-80a1-0a22aeb9e2ea.html
121,Atlantic Union Bank processes 3-231 PPP applications in 48 ...,"Apr 29, 2020",https://www.whsv.com/content/news/Atlantic-Union-Bank-processes-3231-PPP-applications-in-48-hours-570046541.html
122,The Monitor Profiles MUFG Union Bank's Brian Geraghty,1 month ago,https://www.restfinance.com/restaurant-finance-across-america/the-monitor-profiles-mufg-union-banks-brian-geraghty/article_db39401e-62f1-11eb-a2b8-fff3c69fb07c.html
123,A look inside the Atlantic Union Bank Center,"Nov 11, 2020",https://www.whsv.com/2020/11/12/a-look-inside-the-atlantic-union-bank-center/
124,UnionBank acclaimed by Frost & Sullivan for leveraging ...,"Jan 1, 2021",https://www.prnewswire.com/in/news-releases/unionbank-acclaimed-by-frost-amp-sullivan-for-leveraging-innovative-digital-capabilities-to-deliver-exceptional-customer-experiences-832367036.html
125,Philippine's Union Bank More Vigilant on Cybersecurity: Ortiz,"Dec 8, 2020",https://www.bloomberg.com/news/videos/2020-12-09/philippine-s-union-bank-more-vigilant-on-cybersecurity-ortiz-video
126,Union Bank outlasts Anderson Ford in Legion Baseball thriller,"Jul 15, 2020",https://www.1011now.com/2020/07/16/union-bank-outlasts-anderson-ford-in-legion-baseball-thriller/
127,Union Bank closes some lobbies- limits entry to others,"Apr 3, 2020",http://www.oc-breeze.com/2020/04/03/179939_union-bank-closes-some-lobbies-limits-entry-to-others/
128,Union Bank Plaza continues $20M renovation | News ...,"Oct 19, 2020",http://www.ladowntownnews.com/news/union-bank-plaza-continues-20m-renovation/article_26de112c-0ff8-11eb-958d-7fd08f0f7526.html
129,"'Ramona Reflection' mural with its giant cowboy boots dedicated at Union 
Bank","Nov 24, 2020",https://www.sandiegouniontribune.com/ramona-sentinel/news/story/2020-11-24/ramona-reflections-mural-dedicated-at-union-bank
130,Peso likely to go up vs dollar,46 mins ago,https://www.bworldonline.com/peso-likely-to-go-up-vs-dollar/
131,United Federal Credit Union Inks Deal to Buy Its Second Bank,"Oct 28, 2020",https://www.cutimes.com/2020/10/28/united-federal-credit-union-inks-deal-to-buy-its-second-bank/
132,Devon Bryan Named as Chief Information Security Officer ...,"Aug 12, 2020",https://www.prnewswire.com/news-releases/devon-bryan-named-as-chief-information-security-officer-ciso-for-mufg-union-bank-301110776.html
133,Atlantic Union Bankshares Reports Third Quarter Results,"Oct 22, 2020",https://www.globenewswire.com/news-release/2020/10/22/2112702/0/en/Atlantic-Union-Bankshares-Reports-Third-Quarter-Results.html
134,Drone Helps Nab Union Bank Robber In Midst Of Snowstorm ...,"Dec 17, 2020",https://patch.com/new-jersey/clark/drone-helps-nab-union-bank-robber-midst-snow-storm-police
