,Title,Time,Link
64,Judge allows BNP Paribas chiefs to appeal Malta summons,2 weeks ago,https://timesofmalta.com/articles/view/judge-allows-bnp-paribas-chiefs-to-appeal-malta-summons.854107
65,Libor transition delayed for over half of sell-side firms due to ...,2 days ago,https://www.thetradenews.com/libor-transition-delayed-for-over-half-of-sell-side-firms-due-to-pandemic/
66,Derivatives Marketplace Platforms Market 2027 | ANZ- BNP ...,5 days ago,https://neighborwebsj.com/uncategorized/4457212/derivatives-marketplace-platforms-market-2027-anz-bnp-paribas-deutsche-bank/
67,BNP Paribas Asset Management appoints Deputy CEO,4 weeks ago,http://www.institutionalassetmanager.co.uk/2021/02/16/295935/bnp-paribas-asset-management-appoints-deputy-ceo
68,Consumer Credit Market to witness astonishing growth with ...,3 days ago,https://neighborwebsj.com/uncategorized/4521416/consumer-credit-market-to-witness-astonishing-growth-with-key-players-bnp-paribas-citigroup-hsbc-and-others/
69,Trade Finance Market Forecast and Trends Analysis ...,3 days ago,https://ksusentinel.com/2021/03/11/trade-finance-market-forecast-and-trends-analysis-research-report-2021-2027-citigroup-inc-bnp-paribas-icbc/
70,BNP Paribas appoints head of territory for Saudi Arabia,6 days ago,https://www.zawya.com/mena/en/press-releases/story/BNP_Paribas_appoints_head_of_territory_for_Saudi_Arabia-ZAWYA20210307103329/
71,Global Car Finance Market Research 2021 – Ford Motor ...,5 days ago,https://ksusentinel.com/2021/03/09/global-car-finance-market-research-2021-ford-motor-credit-standard-bank-bnp-paribas-toyota-financial-services-hitachi-capital-asia-pacific/
72,"Positive on IT; will allocate money towards private- select PSU banks: BNP 
Paribas",1 week ago,https://www.cnbctv18.com/videos/market/positive-on-it-will-allocate-money-towards-private-select-psu-banks-bnp-paribas-8507761.htm
73,BNP Seeks to Buy Remaining 50% of Exane to Boost Equities ...,3 days ago,https://www.bnnbloomberg.ca/bnp-seeks-to-buy-remaining-50-of-exane-to-boost-equities-unit-1.1575445
74,Financial Leasing Services Market Worth Observing Growth ...,4 days ago,https://neighborwebsj.com/uncategorized/4508825/financial-leasing-services-market-worth-observing-growth-bnp-paribas-leasing-solutions-banc-of-america-leasing-capital-wells-fargo-equipment-finance/
75,Consumer Credit Market SWOT Analysis- Key Indicators By ...,3 days ago,https://neighborwebsj.com/uncategorized/4415676/consumer-credit-market-swot-analysis-key-indicators-by-2026-bnp-paribas-citigroup-hsbc-industrial-and-commercial-bank-of-china-icbc-jpmorgan-chase-etc/
76,Trade Finance Market- increasing demand with Industry ...,5 days ago,https://neighborwebsj.com/uncategorized/4411402/trade-finance-market-increasing-demand-with-industry-professionals-citigroup-inc-bnp-paribas-icbc-and-others/
77,Bancassurance Market Next Big Thing | American Express ...,6 days ago,https://neighborwebsj.com/uncategorized/4386652/bancassurance-market-next-big-thing-american-express-banco-santander-bnp-paribas-cardif/
78,BNP Paribas Names CSAM Allocation Agent for Multi-Factor ...,"Jan 8, 2021",https://www.tradersmagazine.com/departments/brokerage/bnp-paribas-names-csam-allocation-agent-for-multi-factor-index/
79,BNP Paribas Sees Revenue Recovery After Debt-Trading Miss,1 month ago,https://www.bloomberg.com/news/articles/2021-02-05/bnp-paribas-warns-on-fixed-income-slowdown-after-uneven-results
80,BNP Paribas Swings to Hefty Swiss Loss,"Sep 3, 2020",https://www.finews.com/news/english-news/42775-bnp-paribas-swiss-geneva-net-loss
81,BNP Paribas Has Had a Good Crisis- For Now,"Nov 3, 2020",https://www.bloomberg.com/opinion/articles/2020-11-03/bnp-paribas-has-had-a-good-pandemic-crisis-for-now
82,BNP Paribas to Cut Another 120 Swiss Jobs,"Sep 23, 2020",https://www.finews.com/news/english-news/43035-bnp-paribas-job-cuts-commodities-financing
