,Title,Time,Link
132,Exclusive: USAA CAO Andrew Walker talks work-from-home ...,"Sep 11, 2020",https://www.bizjournals.com/sanantonio/news/2020/09/11/usaa-ceo-andrew-walker-talks-work-from-home.html
133,San Antonio company makes Fortune's 'World's Most Admired' companies,1 month ago,https://www.mysanantonio.com/news/local/article/usaa-fortune-most-admired-companies-15921927.php
134,"USAA lowers annual employee bonuses even though profits were up more than 
previous year",1 month ago,https://news4sanantonio.com/news/local/usaa-lowers-annual-employee-bonuses-even-though-profits-were-up-more-than-previous-year
135,USAA's chief security officer talks hiring military talent - San ...,"Oct 30, 2020",https://www.bizjournals.com/sanantonio/news/2020/10/30/usaa-chief-security-officer-veteran-talent.html
136,USAA Real Estate sells industrial portfolio to Westcore ...,"Jan 13, 2021",https://www.bizjournals.com/houston/news/2021/01/13/usaa-real-estate-sells-industrial-portfolio.html
137,USAA's pandemic-related auto policy rebates top $1 billion,"Aug 5, 2020",https://www.stripes.com/news/us/usaa-s-pandemic-related-auto-policy-rebates-top-1-billion-1.640072
138,Ex-USAA CEO Stuart Parker joins rival insurer’s board,"Nov 19, 2020",https://www.expressnews.com/business/article/Ex-USAA-CEO-Stuart-Parker-joins-rival-insurer-s-15740303.php
139,USAA is celebrating nearly 100 years in San Antonio this month,"Jun 24, 2020",https://www.mysanantonio.com/news/local/article/USAA-is-celebrating-nearly-100-years-in-San-15363406.php
140,"Valero- USAA among San Antonio companies that donated to Republicans who 
voted to overturn presidential election results","Jan 14, 2021",https://www.expressnews.com/news/local/politics/article/Valero-USAA-among-San-Antonio-companies-that-15871173.php
141,State Farm- USAA describe approved charges for COVID-19 ...,"Apr 20, 2020",https://www.repairerdrivennews.com/2020/04/20/state-farm-usaa-describe-approved-charges-for-covid-19-cleaning/
142,USAA returns for $300m Residential Re 2020-2 catastrophe ...,"Oct 15, 2020",https://www.artemis.bm/news/usaa-returns-for-300m-residential-re-2020-2-catastrophe-bond-issue/
143,Victory Capital to launch new digital platform for USAA ...,"Sep 3, 2020",https://www.bizjournals.com/sanantonio/news/2020/09/03/victory-capital-to-launch-new-digital-platform.html
144,How USAA's Maria Cantu pushes for 'excellence at 100',"Nov 17, 2020",https://www.dig-in.com/news/how-usaas-maria-cantu-pushes-for-excellence-at-100
145,USAA recruits new CLO | Corporate Secretary,"Jul 22, 2020",https://www.corporatesecretary.com/articles/appointments/32190/usaa-recruits-new-clo
146,ClickSWITCH and USAA Announce Strategic Investment,"Sep 30, 2020",https://www.businesswire.com/news/home/20200930005077/en/ClickSWITCH-and-USAA-Announce-Strategic-Investment
147,USAA Real Estate Lands $72M Refi for Miami-Area Towers,"Dec 16, 2020",https://www.cpexecutive.com/post/usaa-real-estate-lands-72m-refi-for-miami-area-towers/
148,Some of USAA's loss hit cat bonds get wildfire subrogation ...,"Sep 4, 2020",https://www.artemis.bm/news/some-of-usaas-loss-hit-cat-bonds-get-wildfire-subrogation-return-of-principal/
149,New USAA CEO Wayne Peacock takes command during rocky times,"Jul 17, 2020",https://www.mysanantonio.com/sa-inc/article/New-USAA-CEO-Wayne-Peacock-takes-command-during-15414317.php
150,USAA adds Jeff Wallace as CFO,"Sep 2, 2020",https://www.reinsurancene.ws/usaa-adds-jeff-wallace-as-cfo/
151,USAA delays return of workers until at least next year after COVID-19 surge,"Jun 29, 2020",https://www.expressnews.com/business/article/USAA-delays-return-of-workers-until-at-least-next-15373736.php
152,5 Customer Experience Lessons From USAA,"Jun 1, 2020",https://www.forbes.com/sites/blakemorgan/2020/06/01/5-customer-experience-lessons-from-usaa/
153,Judge tosses lawsuit against USAA over TrueCar ties,"Oct 1, 2020",https://www.expressnews.com/business/local/article/Judge-tosses-lawsuit-against-USAA-over-TrueCar-15613158.php
154,USAA donates another $6.3 million to COVID-19 relief efforts,"May 19, 2020",https://news4sanantonio.com/news/coronavirus/usaa-donates-another-63-million-to-covid-19-relief-efforts
155,USAA to return $520 million to members - PRNewswire,"Apr 8, 2020",https://www.prnewswire.com/news-releases/usaa-to-return-520-million-to-members-301037612.html
156,"USAA will return more money to policyholders due to fewer drivers on the 
road","May 1, 2020",https://www.ksat.com/news/local/2020/05/02/usaa-will-return-more-money-to-policyholders-due-to-fewer-drivers-on-the-road/
157,What happened to USAA? Why is it denying some storm ...,"Jul 9, 2020",https://www.dallasnews.com/news/watchdog/2020/07/09/what-happened-to-usaa-why-is-it-denying-some-storm-claims-that-should-be-slam-dunks-for-homeowners/
158,USAA Appoints Dona Young to Board of Directors,"Oct 30, 2020",https://www.prnewswire.com/news-releases/usaa-appoints-dona-young-to-board-of-directors-301163952.html
159,Forbes names USAA- H-E-B among top workplaces for veterans,"Nov 11, 2020",https://www.mysanantonio.com/news/local/article/Forbes-names-USAA-H-E-B-some-of-top-workplaces-15719394.php
160,"USAA donates $30 million to support military families- veterans during 
COVID-19","Aug 23, 2020",https://krcgtv.com/news/local/usaa-donates-30-million-to-help-military-families
161,State Farm- USAA complete blockchain platform for subrogation,1 month ago,https://www.dig-in.com/news/state-farm-usaa-complete-blockchain-platform-for-subrogation
162,USAA Real Estate sells massive national industrial portfolio ...,"Jan 12, 2021",https://www.bizjournals.com/sanantonio/news/2021/01/12/usaa-real-estate-sells-industrial-portfolio.html
163,USAA Appoints David Yim to Chief Investment Officer of ...,"Aug 6, 2020",https://www.prnewswire.com/news-releases/usaa-appoints-david-yim-to-chief-investment-officer-of-enterprise-investments-301107886.html
164,USAA hires David Yim aschief investment officer - San ...,"Aug 7, 2020",https://www.bizjournals.com/sanantonio/news/2020/08/07/usaa-hires-new-chief-investment-officer.html
165,"USAA provides $1 million grant to serve at-risk high school students in San 
Antonio",1 month ago,https://www.sacurrent.com/the-daily/archives/2021/01/27/usaa-provides-1-million-grant-to-serve-at-risk-high-school-students-in-san-antonio
166,What does a whistleblower who handled insurance claims for ...,"Jul 10, 2020",https://www.dallasnews.com/news/watchdog/2020/07/10/what-does-a-whistleblower-who-handled-insurance-claims-for-usaa-admit-under-oath/
